log_source,host_name,start,end,duration_s,n_alerts,n_distinct_proc,top_processes,dominant_features,mse_max,mse_mean
auditd,asus-x415ja,2026-07-01 11:38:45.128000+00:00,2026-07-01 11:38:52.337000+00:00,7.2,23,4,"useradd, userdel, python3","et_bigram_rarity (18), syscall_rarity (4), cmd_entropy (1)",46.4105,21.7513
auditd,asus-x415ja,2026-07-01 11:18:54.623000+00:00,2026-07-01 11:22:14.818000+00:00,200.2,7,4,"gnome-text-edit, tail, df","proc_rarity (3), exe_path_rarity (3), parent_child_rarity (1)",46.4054,23.336
auditd,asus-x415ja,2026-07-02 06:25:01.472000+00:00,2026-07-02 06:29:49.130000+00:00,287.7,461,126,"cp, mkdir, ln","parent_child_rarity (269), proc_rarity (98), exe_path_rarity (34)",46.4053,22.3202
auditd,asus-x415ja,2026-07-02 07:35:01.963000+00:00,2026-07-02 07:43:12.688000+00:00,490.7,8,5,"pavucontrol, cron, pool-pavucontro","inter_arrival_log (3), proc_rarity (3), exe_path_rarity (2)",46.4053,19.6749
auditd,asus-x415ja,2026-07-01 12:43:22.821000+00:00,2026-07-01 12:47:24.934000+00:00,242.1,3,2,"sed, clear","parent_child_rarity (2), proc_rarity (1)",46.4051,29.8306
syslog,ASUS-X415JA,2026-06-22 13:33:47.370000+00:00,2026-06-22 13:38:32.188000+00:00,284.8,3,3,"dockerd, CRON, whoopsie","et_bigram_rarity (2), proc_rarity (1)",45.8386,27.8889
syslog,ASUS-X415JA,2026-06-22 12:26:48.426000+00:00,2026-06-22 12:29:34.771000+00:00,166.3,4,4,"dockerd, systemd-timesyncd, wpa_supplicant","et_bigram_rarity (2), inter_arrival_log (1), proc_rarity (1)",45.8386,23.3244
syslog,ASUS-X415JA,2026-06-25 12:55:01.790000+00:00,2026-06-25 12:56:46.386000+00:00,104.6,3,3,"CRON, systemd-timesyncd, kernel",et_bigram_rarity (3),45.8386,33.4714
syslog,ASUS-X415JA,2026-06-25 10:04:02.803000+00:00,2026-06-25 10:07:49.085000+00:00,226.3,8,8,"rsyslogd, kernel, systemd-udevd","et_bigram_rarity (6), inter_arrival_log (2)",45.8386,21.9784
syslog,ASUS-X415JA,2026-06-25 16:49:49.238000+00:00,2026-06-25 16:49:49.238000+00:00,0.0,1,1,evince,et_bigram_rarity (1),45.8386,45.8386
syslog,ASUS-X415JA,2026-06-25 14:43:15.496000+00:00,2026-06-25 14:43:15.496000+00:00,0.0,1,1,dockerd,et_bigram_rarity (1),45.8386,45.8386
syslog,ASUS-X415JA,2026-06-23 07:36:34.522000+00:00,2026-06-23 07:39:31.915000+00:00,177.4,5,5,"NetworkManager, systemd-timesyncd, systemd","et_bigram_rarity (2), inter_arrival_log (2), proc_rarity (1)",45.8386,26.098
syslog,ASUS-X415JA,2026-06-23 08:30:01.170000+00:00,2026-06-23 08:30:01.170000+00:00,0.0,1,1,CRON,et_bigram_rarity (1),45.8386,45.8386
syslog,ASUS-X415JA,2026-06-25 06:55:21.797000+00:00,2026-06-25 06:55:21.797000+00:00,0.0,1,1,systemd-timesyncd,et_bigram_rarity (1),45.8386,45.8386
syslog,ASUS-X415JA,2026-06-24 14:55:42.940000+00:00,2026-06-24 14:59:47.044000+00:00,244.1,2,2,"systemd-timesyncd, rtkit-daemon",et_bigram_rarity (2),45.8386,45.8386
syslog,ASUS-X415JA,2026-06-20 14:05:01.020000+00:00,2026-06-20 14:05:01.020000+00:00,0.0,1,1,CRON,et_bigram_rarity (1),45.8386,45.8386
syslog,ASUS-X415JA,2026-06-21 09:45:26.478000+00:00,2026-06-21 09:46:26.816000+00:00,60.3,5,4,"charon, kernel, systemd-udevd","et_bigram_rarity (4), inter_arrival_log (1)",45.8386,24.3773
syslog,ASUS-X415JA,2026-06-25 08:08:52.284000+00:00,2026-06-25 08:08:52.284000+00:00,0.0,1,1,nm-dispatcher,proc_rarity (1),45.8361,45.8361
syslog,ASUS-X415JA,2026-06-25 15:26:07.571000+00:00,2026-06-25 15:26:07.571000+00:00,0.0,1,1,check-new-release-gtk,proc_rarity (1),45.8361,45.8361
auditd,asus-x415ja,2026-07-01 09:26:24.998000+00:00,2026-07-01 09:30:07.521000+00:00,222.5,32,5,"useradd, userdel, sudo","et_bigram_rarity (26), syscall_rarity (4), parent_child_rarity (2)",45.0279,24.4209
auditd,asus-x415ja,2026-07-01 17:46:07.880000+00:00,2026-07-01 17:46:26+00:00,18.1,10,6,"(udev-worker), hdparm, snap-confine","et_bigram_rarity (7), syscall_rarity (2), inter_arrival_log (1)",45.0207,22.6413
auditd,asus-x415ja,2026-07-02 06:16:56.563000+00:00,2026-07-02 06:18:34.502000+00:00,97.9,8,2,"plugins-curated, (udev-worker)","exe_path_rarity (5), et_bigram_rarity (2), inter_arrival_log (1)",45.0194,17.9291
auth,ASUS-X415JA,2026-06-22 12:49:50.730000+00:00,2026-06-22 12:50:35.262000+00:00,44.5,67,4,"sshd, userdel, sudo","distinct_users_5m_ip (33), user_rarity (27), msg_length_log (3)",39.2219,13.3517
auth,ASUS-X415JA,2026-06-28 16:27:55.230000+00:00,2026-06-28 16:28:17.890000+00:00,22.7,64,3,"sshd, userdel, useradd","distinct_users_5m_ip (58), et_bigram_rarity (2), inter_arrival_log (1)",35.2892,14.0306
syslog,ASUS-X415JA,2026-06-27 07:06:01.465000+00:00,2026-06-27 07:10:01.226000+00:00,239.8,4,4,"systemd-modules-load, kernel, systemd","inter_arrival_log (2), et_bigram_rarity (2)",34.4703,19.1301
syslog,ASUS-X415JA,2026-06-20 14:18:30.503000+00:00,2026-06-20 14:18:30.503000+00:00,0.0,1,1,dockerd,et_bigram_rarity (1),33.7086,33.7086
syslog,ASUS-X415JA,2026-06-25 16:55:01.515000+00:00,2026-06-25 16:55:01.515000+00:00,0.0,1,1,CRON,et_bigram_rarity (1),33.3629,33.3629
auth,ASUS-X415JA,2026-07-01 09:29:50.088000+00:00,2026-07-01 09:30:05.479000+00:00,15.4,62,3,"sshd, useradd, userdel","distinct_users_5m_ip (59), inter_arrival_log (1), distinct_ips_5m_user (1)",32.9543,15.1392
auth,ASUS-X415JA,2026-06-22 13:57:10.670000+00:00,2026-06-22 13:57:10.811000+00:00,0.1,7,3,"userdel, sudo, useradd","msg_length_log (3), et_bigram_rarity (2), distinct_ips_5m_user (1)",31.6256,11.6038
auditd,asus-x415ja,2026-07-02 07:48:36.788000+00:00,2026-07-02 07:48:36.871000+00:00,0.1,8,7,"release-upgrade, (ade-motd), date","proc_rarity (5), parent_child_rarity (3)",31.4095,21.672
